,Choose your track,1- What is your current level expertise in computer programming?,2- How often do you code or work on tech related projects in your free time?,3- How often do you keep up with tech news and trends?,4- Were you willing to learn and work with programming languages?,"5-  Was your choice based on enjoying working with visual elements, such as layout and design?","7- Did you have interest in analyzing and studying user's behavior , needs and challenges?",8- Did you have a strong background in mathematics and enjoyed solving complex mathematical problems?,9-Did you enjoy working with data to solve real world problems?,10- Were you interested in data research and analysis?,11- Were you passionate about data analysis and deriving insights from data sets?,12- Did you have interest in using algorithms that can learn and improve from data?,13- Were you interested in server-side programming and building the backbone of applications?,14- Did you have interest in creating innovative and creative software?,15- Was you choice based on using mobile apps frequently and having ideas for new ones?,16- Were you concerned about the security of digital systems and data?,"17- Did you enjoy learning about encryption, firewalls and network protection",18- Did you enjoy creative problem-solving and design thinking?,6- Did you have interest creating responsive and interactive web pages
,UI/UX,Intermediate,Daily,Weekly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,Yes,No
,Back-end,Intermediate,Weekly,Daily,Yes,Yes,yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No
,Back-end,Expert,Monthly,Weekly,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
,Back-end,Intermediate,Daily,Rarely,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
,Back-end,Intermediate,Weekly,Daily,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
,Data Science,Beginner,Weekly,Weekly,No,No,yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
,Back-end,Expert,Weekly,Daily,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes
,Back-end,Beginner,Rarely,Weekly,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
,Data Science,Expert,Monthly,Weekly,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
,Machine Learning,Intermediate,Daily,Monthly,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
,Cyber Security,Intermediate,Rarely,Monthly,Yes,No,yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Mobile applications,Expert,Daily,Weekly,Yes,Yes,yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes
,Machine Learning,Intermediate,Weekly,Monthly,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
,Machine Learning,Intermediate,Weekly,Daily,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
,Machine Learning,Intermediate,Daily,Never,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No
,Machine Learning,Intermediate,Weekly,Weekly,Yes,Yes,yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Machine Learning,Beginner,Rarely,Rarely,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No
,Data Science,Intermediate,Daily,Weekly,Yes,Yes,yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes
,Back-end,Beginner,Weekly,Rarely,No,No,yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No
,Front-end,Beginner,Weekly,Weekly,Yes,Yes,yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes
,Back-end,Intermediate,Daily,Daily,Yes,No,yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Machine Learning,Intermediate,Weekly,Weekly,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
,UI/UX,Intermediate,Weekly,Daily,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Weekly,Daily,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No
,Data Science,Intermediate,Weekly,Rarely,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes
,Machine Learning,Intermediate,Weekly,Monthly,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No
,Data Science,Beginner,Rarely,Weekly,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes
,Back-end,Intermediate,Daily,Weekly,Yes,No,yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No
,Machine Learning,Beginner,Weekly,Daily,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No
,Back-end,Intermediate,Rarely,Monthly,Yes,Yes,yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Machine Learning,Intermediate,Weekly,Monthly,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No
,Back-end,Intermediate,Daily,Weekly,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
,Front-end,Intermediate,Weekly,Monthly,No,Yes,yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes
,Data Science,Intermediate,Rarely,Weekly,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No
,Data Science,Intermediate,Weekly,Weekly,Yes,Yes,yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
,Machine Learning,Intermediate,Weekly,Monthly,Yes,Yes,yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
,Front-end,Intermediate,Daily,Daily,Yes,Yes,yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes
,Data Science,Intermediate,Weekly,Daily,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No
,Mobile applications,Beginner,Monthly,Never,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Data Science,Intermediate,Monthly,Daily,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No
,Front-end,Intermediate,Daily,Monthly,Yes,Yes,yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
,Mobile applications,Intermediate,Daily,Weekly,Yes,No,yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
,Machine Learning,Intermediate,Weekly,Daily,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No
,Front-end,Intermediate,Weekly,Monthly,No,Yes,yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes
,Front-end,Intermediate,Weekly,Monthly,No,Yes,yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes
,UI/UX,Intermediate,Weekly,Monthly,No,Yes,yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes
,UI/UX,Intermediate,Weekly,Monthly,No,Yes,yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes
,Back-end,Intermediate,Daily,Weekly,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
,UI/UX,Intermediate,Weekly,Monthly,No,Yes,yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes
,Back-end,Intermediate,Daily,Weekly,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
,UI/UX,Intermediate,Weekly,Monthly,No,Yes,yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes
,Back-end,Intermediate,Daily,Weekly,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
,Mobile applications,Beginner,Monthly,Weekly,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,UI/UX,Intermediate,Weekly,Monthly,No,Yes,yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes
,Back-end,Intermediate,Daily,Weekly,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
,Mobile applications,Beginner,Monthly,Weekly,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Expert,Monthly,Monthly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Weekly,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Beginner,Daily,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Expert,Monthly,Monthly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Intermediate,Weekly,Monthly,No,Yes,yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes
,Back-end,Intermediate,Daily,Weekly,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
,Mobile applications,Beginner,Monthly,Weekly,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Expert,Monthly,Monthly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Weekly,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Beginner,Daily,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Expert,Monthly,Monthly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Intermediate,Weekly,Monthly,No,Yes,yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
,Back-end,Intermediate,Daily,Weekly,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
,Mobile applications,Beginner,Monthly,Weekly,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Expert,Monthly,Monthly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Weekly,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Beginner,Daily,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Expert,Monthly,Monthly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Intermediate,Weekly,Monthly,No,Yes,yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
,Back-end,Intermediate,Daily,Weekly,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
,Mobile applications,Beginner,Monthly,Weekly,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Expert,Monthly,Monthly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Weekly,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Beginner,Daily,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Expert,Monthly,Monthly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Intermediate,Weekly,Monthly,No,Yes,yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
,Back-end,Intermediate,Daily,Weekly,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
,Mobile applications,Beginner,Monthly,Weekly,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Expert,Monthly,Monthly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Weekly,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Beginner,Daily,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Expert,Monthly,Monthly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Intermediate,Weekly,Monthly,No,Yes,yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
,Back-end,Intermediate,Daily,Weekly,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
,Mobile applications,Beginner,Monthly,Weekly,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Expert,Monthly,Monthly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Weekly,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Beginner,Daily,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Expert,Monthly,Monthly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Intermediate,Weekly,Monthly,No,Yes,yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
,Back-end,Intermediate,Daily,Weekly,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
,Mobile applications,Beginner,Monthly,Weekly,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Expert,Monthly,Monthly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Weekly,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Beginner,Daily,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Expert,Monthly,Monthly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Intermediate,Weekly,Monthly,No,Yes,yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
,Back-end,Intermediate,Daily,Weekly,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
,Mobile applications,Beginner,Monthly,Weekly,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Expert,Monthly,Monthly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Weekly,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Beginner,Daily,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Expert,Monthly,Monthly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Mobile applications,Beginner,Monthly,Weekly,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,UI/UX,Intermediate,Weekly,Monthly,No,Yes,yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
,Back-end,Intermediate,Daily,Weekly,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
,UI/UX,Intermediate,Weekly,Monthly,No,Yes,yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
,Back-end,Intermediate,Daily,Weekly,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
,Mobile applications,Beginner,Monthly,Weekly,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Expert,Monthly,Monthly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Weekly,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Beginner,Daily,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Expert,Monthly,Monthly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Intermediate,Weekly,Monthly,No,Yes,yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
,UI/UX,Intermediate,Weekly,Monthly,No,Yes,yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
,Back-end,Intermediate,Daily,Weekly,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
,Front-end,Expert,Monthly,Monthly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Weekly,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Beginner,Daily,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Expert,Monthly,Monthly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Intermediate,Weekly,Monthly,No,Yes,yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
,Back-end,Intermediate,Daily,Weekly,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
,Mobile applications,Beginner,Monthly,Weekly,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Expert,Monthly,Monthly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Weekly,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Beginner,Daily,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Expert,Monthly,Monthly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Intermediate,Weekly,Monthly,No,Yes,yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
,Back-end,Intermediate,Daily,Weekly,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
,Mobile applications,Beginner,Monthly,Weekly,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Expert,Monthly,Monthly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Weekly,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Beginner,Daily,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Expert,Monthly,Monthly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Intermediate,Weekly,Monthly,No,Yes,yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
,Back-end,Intermediate,Daily,Weekly,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
,Mobile applications,Beginner,Monthly,Weekly,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Expert,Monthly,Monthly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Weekly,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Beginner,Daily,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Expert,Monthly,Monthly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Back-end,Intermediate,Weekly,Monthly,Yes,No,yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
,Machine Learning,Intermediate,Weekly,Daily,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
,Machine Learning,Intermediate,Daily,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
,Back-end,Intermediate,Daily,Weekly,Yes,Yes,yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
,Machine Learning,Intermediate,Daily,Monthly,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
,Front-end,Intermediate,Daily,Weekly,Yes,Yes,yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes
,Data Science,Beginner,Daily,Weekly,Yes,No,yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No
,Cyber Security,Beginner,Monthly,Daily,Yes,No,yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No
,Back-end,Intermediate,Weekly,Daily,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
,Machine Learning,Beginner,Monthly,Daily,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
,Machine Learning,Intermediate,Weekly,Daily,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No
,Mobile applications,Intermediate,Daily,Daily,Yes,Yes,yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Data Science,Intermediate,Weekly,Daily,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
,Mobile applications,Intermediate,Weekly,Weekly,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
,Back-end,Intermediate,Daily,Rarely,Yes,No,yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No
,Cyber Security,Beginner,Daily,Weekly,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes
,Back-end,Expert,Daily,Rarely,Yes,Yes,yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No
,Back-end,Beginner,Monthly,Daily,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No
,Mobile applications,Intermediate,Daily,Weekly,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No
,Cyber Security,Beginner,Daily,Weekly,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Expert,Daily,Daily,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No
,Back-end,Intermediate,Weekly,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Back-end,Intermediate,Weekly,Weekly,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
,Mobile applications,Intermediate,Weekly,Daily,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No
,Back-end,Intermediate,Never,Rarely,Yes,Yes,yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
,Machine Learning,Intermediate,Daily,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
,Back-end,Intermediate,Weekly,Monthly,Yes,No,yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
,Data Science,Intermediate,Weekly,Monthly,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
,Back-end,Intermediate,Weekly,Daily,No,No,yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No
,Machine Learning,Intermediate,Daily,Daily,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
,Back-end,Intermediate,Weekly,Monthly,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
,Data Science,Intermediate,Monthly,Weekly,Yes,Yes,yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes
,Machine Learning,Expert,Monthly,Weekly,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No
,Machine Learning,Intermediate,Weekly,Monthly,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
,Mobile applications,Expert,Daily,Weekly,Yes,Yes,yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes
,Mobile applications,Intermediate,Weekly,Weekly,Yes,Yes,yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No
,Front-end,Intermediate,Daily,Weekly,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes
,Back-end,Intermediate,Monthly,Weekly,Yes,No,yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
,Back-end,Beginner,Weekly,Daily,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
