career_path,willingness_to_learn,interest_visual_elements,interest_user_behavior,math_background,interest_working_with_data,interest_data_analysis,interest_data_insights,interest_ml_algorithms,interest_server_side,interest_innovation,interest_mobile_apps,concern_digital_security,interest_security_concepts,interest_design_thinking,interest_web
Mobile App Developer,Yes,Yes,yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes
ML Engineer,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
ML Engineer,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
ML Engineer,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No
ML Engineer,Yes,Yes,yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ML Engineer,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No
Data Scientist,Yes,Yes,yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes
Backend Developer,No,No,yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No
Frontend Developer,Yes,Yes,yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes
Backend Developer,Yes,No,yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ML Engineer,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
UI/UX Designer,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Cyber Security Engineer,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No
Data Scientist,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes
ML Engineer,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No
Data Scientist,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes
Backend Developer,Yes,No,yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No
ML Engineer,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No
Backend Developer,Yes,Yes,yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ML Engineer,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No
Backend Developer,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
Frontend Developer,No,Yes,yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes
Data Scientist,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No
Data Scientist,Yes,Yes,yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
ML Engineer,Yes,Yes,yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Frontend Developer,Yes,Yes,yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes
Data Scientist,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No
Mobile App Developer,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
Data Scientist,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No
Frontend Developer,Yes,Yes,yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Mobile App Developer,Yes,No,yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
ML Engineer,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No
Frontend Developer,No,Yes,yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes
Frontend Developer,No,Yes,yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes
UI/UX Designer,No,Yes,yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes
UI/UX Designer,No,Yes,yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes
Backend Developer,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
UI/UX Designer,No,Yes,yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes
Backend Developer,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
UI/UX Designer,No,Yes,yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes
Backend Developer,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
Mobile App Developer,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
UI/UX Designer,No,Yes,yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes
Backend Developer,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
Mobile App Developer,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
Frontend Developer,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Cyber Security Engineer,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
Data Scientist,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
ML Engineer,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
UI/UX Designer,No,Yes,yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes
Backend Developer,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
Mobile App Developer,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
Frontend Developer,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Cyber Security Engineer,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
Data Scientist,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
ML Engineer,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
UI/UX Designer,No,Yes,yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
Backend Developer,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
Mobile App Developer,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
Frontend Developer,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Cyber Security Engineer,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
Data Scientist,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
ML Engineer,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
UI/UX Designer,No,Yes,yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
Backend Developer,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
Mobile App Developer,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
Frontend Developer,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Cyber Security Engineer,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
Data Scientist,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
ML Engineer,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
UI/UX Designer,No,Yes,yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
Backend Developer,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
Mobile App Developer,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
Frontend Developer,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Cyber Security Engineer,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
Data Scientist,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
ML Engineer,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
UI/UX Designer,No,Yes,yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
Backend Developer,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
Mobile App Developer,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
Frontend Developer,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Cyber Security Engineer,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
Data Scientist,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
ML Engineer,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
UI/UX Designer,No,Yes,yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
Backend Developer,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
Mobile App Developer,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
Frontend Developer,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Cyber Security Engineer,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
Data Scientist,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
ML Engineer,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
UI/UX Designer,No,Yes,yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
Backend Developer,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
Mobile App Developer,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
Frontend Developer,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Cyber Security Engineer,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
Data Scientist,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
ML Engineer,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
Mobile App Developer,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
UI/UX Designer,No,Yes,yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
Backend Developer,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
UI/UX Designer,No,Yes,yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
Backend Developer,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
Mobile App Developer,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
Frontend Developer,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Cyber Security Engineer,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
Data Scientist,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
ML Engineer,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
UI/UX Designer,No,Yes,yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
UI/UX Designer,No,Yes,yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
Backend Developer,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
Frontend Developer,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Cyber Security Engineer,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
Data Scientist,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
ML Engineer,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
UI/UX Designer,No,Yes,yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
Backend Developer,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
Mobile App Developer,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
Frontend Developer,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Cyber Security Engineer,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
Data Scientist,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
ML Engineer,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
UI/UX Designer,No,Yes,yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
Backend Developer,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
Mobile App Developer,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
Frontend Developer,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Cyber Security Engineer,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
Data Scientist,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
ML Engineer,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
UI/UX Designer,No,Yes,yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
Backend Developer,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
Mobile App Developer,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
Frontend Developer,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Cyber Security Engineer,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
Data Scientist,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
ML Engineer,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
Backend Developer,Yes,No,yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
ML Engineer,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
ML Engineer,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Backend Developer,Yes,Yes,yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
ML Engineer,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
Frontend Developer,Yes,Yes,yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes
Data Scientist,Yes,No,yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No
Cyber Security Engineer,Yes,No,yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No
Backend Developer,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
ML Engineer,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
ML Engineer,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No
Mobile App Developer,Yes,Yes,yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
Data Scientist,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
Mobile App Developer,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
Backend Developer,Yes,No,yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No
Cyber Security Engineer,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes
Backend Developer,Yes,Yes,yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No
Backend Developer,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No
Mobile App Developer,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No
Cyber Security Engineer,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
Data Scientist,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No
Backend Developer,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
Backend Developer,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Mobile App Developer,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No
Backend Developer,Yes,Yes,yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
ML Engineer,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
Backend Developer,Yes,No,yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Data Scientist,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
Backend Developer,No,No,yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No
ML Engineer,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
Backend Developer,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
Data Scientist,Yes,Yes,yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes
ML Engineer,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No
ML Engineer,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Mobile App Developer,Yes,Yes,yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes
Mobile App Developer,Yes,Yes,yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No
Frontend Developer,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes
Backend Developer,Yes,No,yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Backend Developer,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
Backend Developer,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No
Cyber Security Engineer,Yes,Yes,yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No
Frontend Developer,Yes,Yes,yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes
Backend Developer,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No
Backend Developer,Yes,No,yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes
ML Engineer,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
Mobile App Developer,Yes,Yes,yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
ML Engineer,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Backend Developer,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
UI/UX Designer,No,Yes,yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
UI/UX Designer,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Mobile App Developer,Yes,Yes,yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No
Backend Developer,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes
Mobile App Developer,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes
UI/UX Designer,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Backend Developer,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
Mobile App Developer,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
Frontend Developer,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Cyber Security Engineer,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
Data Scientist,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
ML Engineer,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
UI/UX Designer,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Backend Developer,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
Mobile App Developer,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
Frontend Developer,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Cyber Security Engineer,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
Data Scientist,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
ML Engineer,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
UI/UX Designer,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Backend Developer,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
Mobile App Developer,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
Frontend Developer,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Cyber Security Engineer,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
Data Scientist,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
ML Engineer,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
UI/UX Designer,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Backend Developer,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
Mobile App Developer,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
Frontend Developer,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Cyber Security Engineer,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
Data Scientist,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
ML Engineer,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
UI/UX Designer,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Backend Developer,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
Mobile App Developer,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
Frontend Developer,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Cyber Security Engineer,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
Data Scientist,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
UI/UX Designer,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Backend Developer,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
Mobile App Developer,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
Mobile App Developer,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
Frontend Developer,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Cyber Security Engineer,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
Data Scientist,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
ML Engineer,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
UI/UX Designer,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Backend Developer,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
Mobile App Developer,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
Frontend Developer,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Cyber Security Engineer,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
Data Scientist,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
ML Engineer,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
UI/UX Designer,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Backend Developer,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
Mobile App Developer,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
UI/UX Designer,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Backend Developer,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
Mobile App Developer,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
Frontend Developer,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
